Fuel_Type,Body_Type,transmission,ownerNo,Brand,model,modelYear,price,Insurance_Validity,Kms_Driven,Mileage,Engine,Seats,Color,City
Petrol,Sedan,Manual,1,Hyundai,Hyundai Elantra,2013,650000.0,Third Party insurance,120000.0,16.3,1797,5,Others,Bangalore
Diesel,Sedan,Automatic,1,Audi,Audi A6,2015,2090000.0,Third Party insurance,59000.0,18.53,1968,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,411000.0,Zero Dep,18835.0,22.05,796,5,Silver,Bangalore
Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,Third Party insurance,120000.0,12.05,2179,7,Gray,Bangalore
Petrol,Hatchback,Automatic,1,Mini,Mini 3 DOOR,2016,3675000.0,Comprehensive,40000.0,17.33,1998,4,White,Bangalore
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2019,610000.0,Comprehensive,60932.0,23.84,1199,5,Red,Bangalore
Petrol,SUV,Automatic,2,Kia,Kia Seltos,2020,1675000.0,Comprehensive,33539.0,16.5,1353,5,White,Bangalore
Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2018,530000.0,Comprehensive,66837.0,23.84,1199,5,Brown,Bangalore
Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,7990000.0,Third Party,400.0,19.260860166288737,2925,5,White,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,2008,250000.0,Third Party insurance,60000.0,19.7,796,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,715000.0,Third Party insurance,44285.0,18.6,1197,5,Grey,Bangalore
Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000.0,Third Party insurance,100000.0,11.3,2987,7,Others,Bangalore
Diesel,SUV,Automatic,1,Tata,Tata New Safari,2021,2250000.0,Comprehensive,25000.0,14.08,1956,6,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,625000.0,Comprehensive,36735.0,18.9,1197,5,Blue,Bangalore
Diesel,SUV,Automatic,1,Audi,Audi Q7,2015,2695000.0,Comprehensive,79000.0,12.07,2967,7,White,Bangalore
Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,Third Party insurance,120000.0,12.05,2179,8,Gray,Bangalore
Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2022,550000.0,Third Party insurance,10000.0,22.0,999,5,Others,Bangalore
