it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Turbo Charger,Super Charger,Compression Ratio,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Ground Clearance Unladen,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Acceleration,Top Speed,City
0,Petrol,Hatchback,"65,005",Manual,1,1st Owner,Maruti,Maruti Swift,2013,4202,VXI,₹ 3.11 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2013,Comprehensive,Petrol,5 Seats,"65,005 Kms",WB22,First Owner,1197 cc,Manual,2013.0,18.6 kmpl,1197 CC,85.8bhp,114Nm,14,5,Grey,K Series Petrol Engine,1197,85.8bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 71.5 mm,No,No,10.0:1,3850mm,1695mm,1530mm,2430mm,1485mm,1495mm,970kg,1415kg,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,"Tubeless,Radial",14,5,232-litres,12.29 Seconds,160km/hr,Kolkata
0,Petrol,Hatchback,"2,657",Manual,1,1st Owner,Renault,Renault KWID,2022,7429,RXT,₹ 4.64 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2022,Third Party,Petrol,5 Seats,"2,657 Kms",WB08,First Owner,799 cc,Manual,2022.0,22.3 kmpl,799 CC,53.26bhp,72Nm,,5,Red,Petrol Engine,799,53.26bhp@5600rpm,72Nm@4250rpm,3.0,4.0,DOHC,MPFi,,No,No,,3731mm,1579mm,1474mm,2422mm,,,710,,,,,,,,5 Speed,FWD,5,Electric,4.9 metres,Disc,Drum,"Tubeless,Radial",,5,279,16 Seconds,,Kolkata
0,Petrol,Hatchback,"16,000",Manual,1,1st Owner,Hyundai,Hyundai i10,2011,1569,Magna 1.1L,₹ 2.05 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2011,Comprehensive,Petrol,5 Seats,"16,000 Kms",WB06,First Owner,1086 cc,Manual,2011.0,19.81 kmpl,1086 CC,68.05bhp,99.04Nm,,5,Grey,IRDE2 Engine,1086,68.05bhp@5500rpm,99.04Nm@4500rpm,4.0,3.0,SOHC,MPFI,,No,No,,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,860kg,,,,,,,,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,Tubeless,,5,225-litres,14.3 Seconds,165 Kmph,Kolkata
0,Diesel,SUV,"7,426",Automatic,1,1st Owner,Tata,Tata Harrier,2023,7496,XZA Plus AT BSVI,₹ 21.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,May 2023,Comprehensive,Diesel,5 Seats,"7,426 Kms",WB02,First Owner,1956 cc,Automatic,2023.0,14.6 kmpl,1956 CC,167.67bhp,350Nm,17,5,Red,Kryotec 2.0 L Turbocharged Engine,1956,167.67bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,,,,Yes,,,4598mm,1894mm,1706mm,2741mm,,,1700,,,,,,,,6-Speed,,5,Power,,Disc,Disc,"Tubeless, Radial",17,5,425,,,Kolkata
0,Petrol,Hatchback,"27,046",Automatic,1,1st Owner,Maruti,Maruti Baleno,2018,3964,1.2 CVT Delta,₹ 6.43 Lakh,₹ 6.56 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2018,Comprehensive,Petrol,5 Seats,"27,046 Kms",WB08,First Owner,1197 cc,Automatic,2018.0,21.4 kmpl,1197 CC,83.1bhp,115Nm,,5,Silver,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,No,No,,3995mm,1745mm,1510mm,2520mm,1515mm,1525mm,910kg,1360kg,,,,,,,CVT,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",,5,339-litres,12.79 seconds,180 Kmph,Kolkata
0,Diesel,SUV,"30,100",Automatic,1,1st Owner,Toyota,Toyota Fortuner,2021,7618,2.8 4WD AT,₹ 37.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2021,Third Party insurance,Diesel,7 Seats,"30,100 Kms",WB08,First Owner,2755 cc,Automatic,2021.0,15.04 kmpl,2755 CC,174.5bhp,450Nm,18,7,Black,1-GD FTV Engine,2755,174.5bhp@3400rpm,450Nm@1600-2400rpm,4.0,4.0,DOHC,Direct Injection,,Yes,No,,4795mm,1855mm,1835mm,2745,,,2280,2735Kg,,,,,,,6 Speed,4WD,7,Power,5.8,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",18,5,,12.14 seconds,157.3 kmph,Kolkata
0,Petrol,Hatchback,"9,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2022,8835,LXI BSVI,₹ 5.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2022,Comprehensive,Petrol,5 Seats,"9,000 Kms",WB06,First Owner,998 cc,Manual,2022.0,24.35 kmpl,998 CC,65.71bhp,89Nm,,5,Brown,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,3655mm,1620mm,1675mm,2435,1430,1440,810-835,1340Kg,,,,,,,,,5,Power,4.7,Disc,Drum,"Tubeless, Radial",,5,341,,,Kolkata
0,Petrol,Hatchback,"17,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2022,8153,Sportz BSVI,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2022,Third Party insurance,Petrol,5 Seats,"17,000 Kms",WB02,First Owner,1197 cc,Manual,2022.0,21 kmpl,1197 CC,81.80bhp,114.74Nm,,5,Grey,1.2 l Kappa petrol,1197,81.80bhp@6000rpm,114.74Nm@4200rpm,4.0,4.0,,,,No,,,3995mm,1775mm,1505mm,2580mm,,,1120,,,,,,,,5 Speed,,5,Electric,,Disc,Drum,"Tubeless, Radial",,5,311,,,Kolkata
0,Diesel,SUV,"49,200",Automatic,1,1st Owner,Jeep,Jeep Compass,2021,7885,2.0 Longitude Option AT,₹ 16.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2021,Comprehensive,Diesel,5 Seats,"49,200 Kms",WB06,First Owner,1956 cc,Automatic,2021.0,17.1 kmpl,1956 CC,170bhp,350Nm,17,5,Grey,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,Yes,No,,4395mm,1818mm,1640mm,2636mm,,,1551 kgs,,,,,,,,9 Speed,4X4,5,power,,Disc,Discs,"Radial, Tubless",17,5,408-litres,,,Kolkata
0,Petrol,Hatchback,"35,000",Manual,2,2nd Owner,Hyundai,Hyundai i10,2009,1567,Era,₹ 2.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2009,Comprehensive,Petrol,5 Seats,"35,000 Kms",WB20,Second Owner,1086 cc,Manual,2009.0,19.81 kmpl,1086 CC,68.05bhp,99.04Nm,,5,Red,IRDE2 Engine,1086,68.05bhp@5500rpm,99.04Nm@4500rpm,4.0,3.0,SOHC,MPFI,,No,No,,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,860kg,,,,,,,,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,Tubeless,,5,225-litres,14.3 Seconds,165 Kmph,Kolkata
0,Diesel,SUV,"30,000",Automatic,2,2nd Owner,Land Rover,Land Rover Range Rover Evoque,2020,7873,2.0 R-Dynamic SE diesel 2020-2021,₹ 59.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2020,Third Party insurance,Diesel,5 Seats,"30,000 Kms",,Second Owner,1999 cc,Automatic,2020.0,,1999 CC,245.4bhp,430Nm,18,5,Gray,Turbocharged Diesel engine,1999,245.4bhp@5500rpm,430Nm@1750-2500rpm,4.0,4.0,,,,Yes,,15.5,4371 mm,1996 mm,1649 mm,2681mm,1626mm,1628mm,1775,2450kg,,,,,,,9-speed automatic,AWD,5,Power,,Disc,Disc,"Tubeless,Radial",18,5,786,9.3 Seconds,205 Kmph,Kolkata
0,Petrol,Hatchback,"54,044",Manual,1,1st Owner,Maruti,Maruti Alto K10,2017,7013,VXI Optional,₹ 3.15 Lakh,₹ 3.21 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2017,Third Party,Petrol,5 Seats,"54,044 Kms",WB12,First Owner,998 cc,Manual,2017.0,23.95 kmpl,998 CC,67.05bhp,90Nm,,5,Silver,K Series Petrol Engine,998,67.05bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,,No,No,,3545mm,1515mm,1475mm,2360mm,1295mm,1290mm,784kg,1210kg,,,,,,,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,"Tubeless,Radial",,5,177,13.3 Seconds,145 Kmph,Kolkata
0,Petrol,SUV,"6,500",Manual,1,1st Owner,Tata,Tata Nexon,2021,7384,XM BSVI,₹ 7.99 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2021,Third Party insurance,Petrol,5 Seats,"6,500 Kms",WB10,First Owner,1199 cc,Manual,2021.0,17.33 kmpl,1199 CC,118.35bhp,170Nm,,5,Green,1.2l Turbocharged Revotron Engine,1199,118.35bhp@5500rpm,170Nm@1750-4000rpm,3.0,4.0,,,,,,,3993,1811,1606,2498,,,1200,,,,,,,,6 Speed,,5,Electric,5.1,Disc,Drum,"Tubeless,Radial",,5,350,,,Kolkata
0,Petrol,Sedan,"29,159",Manual,1,1st Owner,Maruti,Maruti Ciaz,2017,4022,VXi Option,₹ 5.26 Lakh,₹ 5.62 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2017,Zero Dep,Petrol,5 Seats,"29,159 Kms",WB06,First Owner,1373 cc,Manual,2017.0,20.73 kmpl,1373 CC,91.1bhp,130Nm,,5,Red,k14B VVT Engine,1373,91.1bhp@6000rpm,130Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 82mm,No,No,10.1:1,4490mm,1730mm,1485mm,2650mm,1495mm,1505mm,1010kg,1490kg,,,,,,,5 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,"Tubeless, Radial",,4,510-litres,14 Seconds,190 kmph,Kolkata
0,Diesel,SUV,"30,000",Automatic,2,2nd Owner,Land Rover,Land Rover Range Rover Evoque,2020,7873,2.0 R-Dynamic SE diesel 2020-2021,₹ 59.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2020,Third Party insurance,Diesel,5 Seats,"30,000 Kms",,Second Owner,1999 cc,Automatic,2020.0,,1999 CC,245.4bhp,430Nm,18,5,Silver,Turbocharged Diesel engine,1999,245.4bhp@5500rpm,430Nm@1750-2500rpm,4.0,4.0,,,,Yes,,15.5,4371 mm,1996 mm,1649 mm,2681mm,1626mm,1628mm,1775,2450kg,,,,,,,9-speed automatic,AWD,5,Power,,Disc,Disc,"Tubeless,Radial",18,5,786,9.3 Seconds,205 Kmph,Kolkata
0,Petrol,Sedan,"31,968",Automatic,1,1st Owner,Honda,Honda City,2016,1217,i VTEC CVT VX,₹ 6.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Oct 2016,Comprehensive,Petrol,5 Seats,"31,968 Kms",WB02,First Owner,1497 cc,Automatic,2016.0,18 kmpl,1497 CC,117.3bhp,145Nm,15,5,Brown,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,No,No,10.3:1,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1085kg,,,,,,,,5 Speed CVT,FWD,5,Power,5.3 metres,Disc,Drum,"Tubeless,Radial",15,4,510-litres,10 Seconds,195 Kmph,Kolkata
0,Petrol,Hatchback,"44,150",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10 Nios,2019,7094,Asta,₹ 6.12 Lakh,₹ 6.25 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Oct 2019,Third Party,Petrol,5 Seats,"44,150 Kms",WB02,Second Owner,1197 cc,Manual,2019.0,20.7 kmpl,1197 CC,81.86bhp,113.8nm,15,5,Blue,1.2 Kappa petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,,,No,,,3805mm,1680,1520,2450,,,1060,,,,,,,,5-Speed,,5,Electric,,Disc,Drum,"Tubeless, Radial",15,5,,,,Kolkata
0,Petrol,Hatchback,"60,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2010,8988,1.2 Magna Opt,₹ 1.89 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2010,Third Party insurance,Petrol,5 Seats,"60,000 Kms",,First Owner,1197 cc,Manual,2010.0,17 kmpl,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm",14,5,Others,In-Line Engine,1197,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm",4.0,4.0,DOHC,MPFI,,No,No,:1,3940 mm,1710 mm,1505 mm,"2,525 mm","1,505 mm","1,503 mm",1120,,,,,,,,5 Speed,FWD,5,Power,5.20 m,Disc,Drum,"Tubeless,Radial",14,5,295 Lit,12.96 Sec,,Kolkata
0,Petrol,SUV,"25,009",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2018,6432,1.6 SX Automatic,₹ 9.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Oct 2018,Comprehensive,Petrol,5 Seats,"25,009 Kms",WB20,First Owner,1591 cc,Automatic,2018.0,14.8 kmpl,1591 CC,121.3bhp,151NM,17,5,Grey,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151NM@4850rpm,4.0,4.0,DOHC,MPFi,,No,No,,4270mm,1780mm,1665mm,2590mm,,,1300,,190mm,,,,,,6 Speed,FWD,5,Power,5.3 metres,Disc,Drum,Tubeless,17,5,400,,,Kolkata
0,Petrol,Hatchback,"46,469",Manual,1,1st Owner,Maruti,Maruti Swift,2020,10403,VXI,₹ 5.34 Lakh,₹ 5.48 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2020,Zero Dep,Petrol,5 Seats,"46,469 Kms",WB06,First Owner,1197 cc,Manual,2020.0,22.38 kmpl,1197 CC,88.50bhp,113Nm,,5,Silver,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,,,,,,,5-Speed,,5,Electric,4.8,Disc,Drum,"Radial, Tubeless",,5,268,,,Kolkata
0,Petrol,SUV,"45,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2018,8179,1.6 VTVT SX Plus,₹ 8 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,May 2018,Third Party insurance,Petrol,5 Seats,"45,000 Kms",WB02,First Owner,1591 cc,Manual,2018.0,13 kmpl,1591 CC,121.3bhp,151Nm,17,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,DOHC,MPFi,,No,No,,4270mm,1780mm,1630mm,2590mm,,,1280,,,,,,,,6 Speed,FWD,5,Power,5.3 metres,Disc,Drum,Tubeless,17,5,400-litres,,,Kolkata
0,Petrol,Sedan,"31,577",Manual,1,1st Owner,Hyundai,Hyundai Verna,2020,7731,SX Opt,₹ 9.83 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2020,Third Party,Petrol,5 Seats,"31,577 Kms",WB02,First Owner,1497 cc,Manual,2020.0,17.7 kmpl,1497 CC,113.18bhp,143.8Nm,16,5,Black,1.5 l MPi petrol,1497,113.18bhp@6300rpm,143.8Nm@4500rpm,4.0,4.0,DOHC with VIS,MPi,,,,,4440mm,1729mm,1475mm,2600mm,,,1200,,,,,,,,6 Speed,,5,Electric,,Disc,Drum,"Tubeless, Radial",16,4,,,,Kolkata
0,Petrol,Hatchback,"56,005",Automatic,1,1st Owner,Maruti,Maruti Celerio,2014,3982,VXI AT,₹ 2.81 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2014,Comprehensive,Petrol,5 Seats,"56,005 Kms",WB08,First Owner,998 cc,Automatic,2014.0,23.1 kmpl,998 CC,67.04bhp,90Nm,,5,Red,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,No,No,11.0:1,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,840kg,1250kg,,,,,,,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,"Tubeless, Radial",,5,235-litres,15.05 Seconds,150 Kmph,Kolkata
0,Petrol,Hatchback,"10,005",Manual,1,1st Owner,Maruti,Maruti Wagon R,2021,6740,VXI,₹ 5.35 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Oct 2021,Comprehensive,Petrol,5 Seats,"10,005 Kms",WB96,First Owner,998 cc,Manual,2021.0,21.79 kmpl,998 CC,67.05bhp,90Nm,,5,Brown,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,73  x 79.5 mm,No,No,,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,18.6 Seconds,,Kolkata
